index,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,OPPONENT_TEAM_ID,OPPONENT_TEAM_ABBREVIATION,SEASON,PTS_QTR1,PTS_QTR1_OPP,GAME_DATE,TOTAL_FQP,TEAM_LAST_10,TEAM_WORST_2,LAST_10_OPP,WORST_2_OPP,TEAM_FGA,FGA_OPP,TEAM_PACE,PACE_OPP,TEAM_LAST_10_AGAINST,TEAM_WORST_2_AGAINST,LAST_10_OPP_AGAINST,WORST_2_OPP_AGAINST,TEAM_EFG,EFG_OPP,TEAM_FG,FG_OPP
2446,22200004,1610612764,WAS,1610612754,IND,2022-23,36,25,2022-10-19,61,36.0,36.0,30.0,30.0,25.0,20.0,112.0,112.0,25.0,25.0,30.0,30.0,0.6,0.3,0.52,0.45
2452,22200014,1610612757,POR,1610612758,SAC,2022-23,32,23,2022-10-19,55,32.0,32.0,35.0,35.0,20.0,25.0,100.0,106.0,23.0,23.0,20.0,20.0,0.525,0.554,0.45,0.52
2451,22200005,1610612745,HOU,1610612737,ATL,2022-23,20,26,2022-10-19,46,20.0,20.0,25.0,25.0,21.0,25.0,110.0,110.0,26.0,26.0,37.0,37.0,0.405,0.568,0.381,0.44
2450,22200005,1610612737,ATL,1610612745,HOU,2022-23,26,20,2022-10-19,46,26.0,26.0,28.0,28.0,25.0,21.0,110.0,110.0,20.0,20.0,23.0,23.0,0.44,0.523,0.44,0.381
2442,22200013,1610612756,PHX,1610612742,DAL,2022-23,24,32,2022-10-19,56,24.0,24.0,22.0,22.0,24.0,28.0,100.0,110.0,32.0,32.0,32.0,32.0,0.458,0.586,0.458,0.5
2432,22200006,1610612740,NOP,1610612751,BKN,2022-23,32,14,2022-10-19,46,32.0,32.0,33.0,33.0,28.0,29.0,110.0,106.0,14.0,14.0,24.0,24.0,0.554,0.525,0.5,0.458
2449,22200010,1610612750,MIN,1610612760,OKC,2022-23,35,22,2022-10-19,57,35.0,35.0,32.0,32.0,24.0,25.0,108.0,112.0,22.0,22.0,36.0,36.0,0.604,0.357,0.542,0.5
2455,22200007,1610612748,MIA,1610612741,CHI,2022-23,33,28,2022-10-19,61,33.0,33.0,32.0,32.0,22.0,22.0,106.0,100.0,28.0,28.0,25.0,25.0,0.636,0.318,0.5,0.542
2454,22200007,1610612741,CHI,1610612748,MIA,2022-23,28,33,2022-10-19,61,28.0,28.0,25.0,25.0,22.0,22.0,106.0,110.0,33.0,33.0,22.0,22.0,0.523,0.44,0.455,0.545
2437,22200012,1610612743,DEN,1610612762,UTA,2022-23,30,37,2022-10-19,67,30.0,30.0,36.0,36.0,22.0,19.0,112.0,110.0,37.0,37.0,26.0,26.0,0.568,0.405,0.545,0.455
2441,22200008,1610612739,CLE,1610612761,TOR,2022-23,22,28,2022-10-19,50,22.0,22.0,24.0,24.0,22.0,26.0,108.0,98.0,28.0,28.0,38.0,38.0,0.432,0.526,0.364,0.421
2440,22200008,1610612761,TOR,1610612739,CLE,2022-23,28,22,2022-10-19,50,28.0,28.0,26.0,26.0,19.0,22.0,108.0,100.0,22.0,22.0,33.0,33.0,0.526,0.432,0.421,0.364
2436,22200012,1610612762,UTA,1610612743,DEN,2022-23,37,30,2022-10-19,67,37.0,37.0,23.0,23.0,26.0,22.0,112.0,112.0,30.0,30.0,25.0,25.0,0.692,0.435,0.577,0.36
2435,22200009,1610612752,NYK,1610612763,MEM,2022-23,23,25,2022-10-19,48,23.0,23.0,37.0,37.0,25.0,24.0,100.0,108.0,25.0,25.0,28.0,28.0,0.44,0.357,0.36,0.577
2439,22200011,1610612759,SAS,1610612766,CHA,2022-23,22,38,2022-10-19,60,22.0,22.0,28.0,28.0,23.0,20.0,110.0,100.0,38.0,38.0,28.0,28.0,0.435,0.692,0.391,0.6
2443,22200013,1610612742,DAL,1610612756,PHX,2022-23,32,24,2022-10-19,56,32.0,32.0,14.0,14.0,20.0,23.0,100.0,110.0,24.0,24.0,14.0,14.0,0.7,0.457,0.6,0.391
2433,22200006,1610612751,BKN,1610612740,NOP,2022-23,14,32,2022-10-19,46,14.0,14.0,32.0,32.0,20.0,28.0,110.0,100.0,32.0,32.0,32.0,32.0,0.3,0.6,0.3,0.552
2438,22200011,1610612766,CHA,1610612759,SAS,2022-23,38,22,2022-10-19,60,38.0,38.0,17.0,17.0,29.0,28.0,110.0,112.0,22.0,22.0,17.0,17.0,0.586,0.458,0.552,0.3
2431,22200016,1610612747,LAL,1610612746,LAC,2022-23,23,35,2022-10-20,58,22.0,22.0,35.0,35.0,24.0,24.0,120.0,92.0,25.0,25.0,23.0,23.0,0.354,0.69,0.333,0.5
2430,22200016,1610612746,LAC,1610612747,LAL,2022-23,35,23,2022-10-20,58,35.0,35.0,22.0,22.0,24.0,24.0,112.0,106.0,23.0,23.0,25.0,25.0,0.563,0.45,0.5,0.333
2428,22200015,1610612749,MIL,1610612755,PHI,2022-23,30,24,2022-10-20,54,30.0,30.0,29.0,29.0,21.0,20.0,92.0,120.0,24.0,24.0,24.0,24.0,0.69,0.354,0.571,0.35
2429,22200015,1610612755,PHI,1610612749,MIL,2022-23,24,30,2022-10-20,54,29.0,29.0,30.0,30.0,20.0,21.0,106.0,112.0,24.0,24.0,24.0,24.0,0.45,0.563,0.35,0.571
2408,22200018,1610612759,SAS,1610612754,IND,2022-23,36,26,2022-10-21,62,22.0,22.0,28.0,28.0,23.0,22.0,110.0,100.0,38.0,38.0,36.0,36.0,0.435,0.44,0.391,0.292
2415,22200026,1610612744,GSW,1610612743,DEN,2022-23,34,40,2022-10-21,74,25.0,25.0,24.0,24.0,24.0,25.0,120.0,112.0,22.0,22.0,29.0,29.0,0.354,0.636,0.292,0.391
2414,22200026,1610612743,DEN,1610612744,GSW,2022-23,40,34,2022-10-21,74,30.0,30.0,35.0,35.0,22.0,26.0,112.0,112.0,37.0,37.0,22.0,22.0,0.568,0.357,0.545,0.577
2413,22200025,1610612762,UTA,1610612750,MIN,2022-23,26,41,2022-10-21,67,37.0,37.0,17.0,17.0,26.0,22.0,112.0,106.0,30.0,30.0,14.0,14.0,0.692,0.44,0.577,0.545
2418,22200022,1610612738,BOS,1610612748,MIA,2022-23,30,22,2022-10-21,52,24.0,24.0,25.0,25.0,21.0,24.0,106.0,112.0,29.0,29.0,22.0,22.0,0.429,0.604,0.381,0.455
2416,22200019,1610612741,CHI,1610612764,WAS,2022-23,30,26,2022-10-21,56,28.0,28.0,14.0,14.0,22.0,25.0,106.0,108.0,33.0,33.0,22.0,22.0,0.523,0.405,0.455,0.381
2417,22200019,1610612764,WAS,1610612741,CHI,2022-23,26,30,2022-10-21,56,36.0,36.0,28.0,28.0,25.0,23.0,112.0,120.0,25.0,25.0,20.0,20.0,0.6,0.526,0.52,0.5
2419,22200022,1610612748,MIA,1610612738,BOS,2022-23,22,30,2022-10-21,52,33.0,33.0,32.0,32.0,22.0,20.0,106.0,100.0,28.0,28.0,23.0,23.0,0.636,0.354,0.5,0.52
2425,22200023,1610612752,NYK,1610612765,DET,2022-23,30,20,2022-10-21,50,23.0,23.0,20.0,20.0,25.0,24.0,100.0,98.0,25.0,25.0,28.0,28.0,0.44,0.692,0.36,0.348
2409,22200018,1610612754,IND,1610612759,SAS,2022-23,26,36,2022-10-21,62,25.0,25.0,25.0,25.0,23.0,25.0,112.0,112.0,36.0,36.0,38.0,38.0,0.457,0.554,0.348,0.36
2410,22200024,1610612763,MEM,1610612745,HOU,2022-23,26,32,2022-10-21,58,25.0,25.0,25.0,25.0,28.0,19.0,100.0,108.0,23.0,23.0,28.0,28.0,0.357,0.568,0.286,0.421
2406,22200021,1610612761,TOR,1610612751,BKN,2022-23,24,28,2022-10-21,52,28.0,28.0,22.0,22.0,19.0,28.0,108.0,106.0,22.0,22.0,33.0,33.0,0.526,0.6,0.421,0.286
2422,22200017,1610612740,NOP,1610612766,CHA,2022-23,35,24,2022-10-21,59,32.0,32.0,26.0,26.0,28.0,21.0,110.0,110.0,14.0,14.0,30.0,30.0,0.554,0.457,0.5,0.542
2412,22200025,1610612750,MIN,1610612762,UTA,2022-23,41,26,2022-10-21,67,35.0,35.0,30.0,30.0,24.0,21.0,108.0,100.0,22.0,22.0,26.0,26.0,0.604,0.429,0.542,0.5
2407,22200021,1610612751,BKN,1610612761,TOR,2022-23,28,24,2022-10-21,52,14.0,14.0,28.0,28.0,20.0,22.0,110.0,110.0,32.0,32.0,17.0,17.0,0.3,0.318,0.3,0.552
2423,22200017,1610612766,CHA,1610612740,NOP,2022-23,24,35,2022-10-21,59,38.0,38.0,24.0,24.0,29.0,19.0,110.0,110.0,22.0,22.0,37.0,37.0,0.586,0.525,0.552,0.3
2427,22200027,1610612756,PHX,1610612757,POR,2022-23,28,25,2022-10-21,53,24.0,24.0,38.0,38.0,24.0,20.0,100.0,110.0,32.0,32.0,23.0,23.0,0.458,0.632,0.458,0.44
2421,22200020,1610612737,ATL,1610612753,ORL,2022-23,19,27,2022-10-21,46,26.0,26.0,32.0,32.0,25.0,22.0,110.0,98.0,20.0,20.0,25.0,25.0,0.44,0.435,0.44,0.458
2411,22200024,1610612745,HOU,1610612763,MEM,2022-23,32,26,2022-10-21,58,20.0,20.0,23.0,23.0,21.0,28.0,110.0,110.0,26.0,26.0,22.0,22.0,0.405,0.523,0.381,0.45
2426,22200027,1610612757,POR,1610612756,PHX,2022-23,25,28,2022-10-21,53,32.0,32.0,33.0,33.0,20.0,24.0,100.0,106.0,23.0,23.0,32.0,32.0,0.525,0.586,0.45,0.381
2420,22200020,1610612753,ORL,1610612737,ATL,2022-23,27,19,2022-10-21,46,28.0,28.0,36.0,36.0,19.0,29.0,98.0,110.0,17.0,17.0,32.0,32.0,0.632,0.458,0.579,0.318
2424,22200023,1610612765,DET,1610612752,NYK,2022-23,20,30,2022-10-21,50,17.0,17.0,37.0,37.0,22.0,23.0,98.0,100.0,28.0,28.0,25.0,25.0,0.318,0.3,0.318,0.579
2389,22200031,1610612761,TOR,1610612748,MIA,2022-23,33,38,2022-10-22,71,26.0,26.0,32.0,32.0,20.0,22.5,101.0,108.0,25.0,25.0,29.0,29.0,0.513,0.4635,0.4485,0.5
2393,22200036,1610612746,LAC,1610612758,SAC,2022-23,29,26,2022-10-22,55,35.0,35.0,22.0,22.0,24.0,21.0,112.0,108.0,23.0,23.0,32.0,32.0,0.563,0.7,0.5,0.4485
2392,22200036,1610612758,SAC,1610612746,LAC,2022-23,26,29,2022-10-22,55,23.0,23.0,25.5,25.5,18.0,23.5,100.0,101.0,32.0,32.0,23.0,23.0,0.472,0.5325,0.389,0.3515
2402,22200034,1610612763,MEM,1610612742,DAL,2022-23,17,39,2022-10-22,56,25.5,25.5,23.0,23.0,26.0,22.5,106.0,110.0,27.5,27.5,26.0,26.0,0.4285,0.659,0.3515,0.389
2399,22200030,1610612753,ORL,1610612738,BOS,2022-23,33,36,2022-10-22,69,27.5,27.5,30.0,30.0,20.0,24.0,102.0,100.0,18.0,18.0,36.0,36.0,0.5660000000000001,0.515,0.5275,0.5995
2394,22200035,1610612743,DEN,1610612760,OKC,2022-23,28,29,2022-10-22,57,35.0,35.0,26.5,26.5,24.0,20.0,108.0,112.0,35.5,35.5,27.0,27.0,0.659,0.4285,0.5995,0.5275
2403,22200034,1610612742,DAL,1610612763,MEM,2022-23,39,17,2022-10-22,56,32.0,32.0,26.0,26.0,20.0,21.0,100.0,102.0,24.0,24.0,25.5,25.5,0.7,0.563,0.6,0.47350000000000003
2397,22200028,1610612759,SAS,1610612755,PHI,2022-23,19,25,2022-10-22,44,29.0,29.0,27.5,27.5,25.0,22.5,109.0,100.0,32.0,32.0,29.5,29.5,0.5325,0.472,0.47350000000000003,0.6
2396,22200028,1610612755,PHI,1610612759,SAS,2022-23,25,19,2022-10-22,44,26.5,26.5,35.0,35.0,21.0,23.0,99.0,100.0,27.0,27.0,35.5,35.5,0.4635,0.513,0.37949999999999995,0.571
2405,22200033,1610612749,MIL,1610612745,HOU,2022-23,41,23,2022-10-22,64,30.0,30.0,27.5,27.5,21.0,24.0,92.0,111.0,24.0,24.0,35.0,35.0,0.69,0.538,0.571,0.37949999999999995
2390,22200029,1610612754,IND,1610612765,DET,2022-23,25,35,2022-10-22,60,25.5,25.5,22.0,22.0,22.5,26.0,110.0,106.0,36.0,36.0,18.0,18.0,0.4669999999999999,0.5225,0.40149999999999997,0.34650000000000003
2391,22200029,1610612765,DET,1610612754,IND,2022-23,35,25,2022-10-22,60,18.5,18.5,27.0,27.0,23.0,21.0,101.0,100.0,29.0,29.0,25.0,25.0,0.3675,0.357,0.34650000000000003,0.40149999999999997
2404,22200033,1610612745,HOU,1610612749,MIL,2022-23,23,41,2022-10-22,64,26.0,26.0,29.0,29.0,22.5,20.0,111.0,92.0,26.0,26.0,27.5,27.5,0.515,0.5660000000000001,0.4615,0.364
2400,22200032,1610612739,CLE,1610612741,CHI,2022-23,34,25,2022-10-22,59,22.0,22.0,35.0,35.0,22.0,28.0,108.0,101.0,28.0,28.0,29.0,29.0,0.432,0.5,0.364,0.4615
2388,22200031,1610612748,MIA,1610612761,TOR,2022-23,38,33,2022-10-22,71,27.5,27.5,29.0,29.0,23.5,18.0,100.0,109.0,29.0,29.0,28.0,28.0,0.538,0.69,0.45,0.4665
2401,22200032,1610612741,CHI,1610612739,CLE,2022-23,25,34,2022-10-22,59,29.0,29.0,26.0,26.0,22.5,25.0,101.0,108.0,29.5,29.5,32.0,32.0,0.5225,0.4669999999999999,0.4665,0.45
2395,22200035,1610612760,OKC,1610612743,DEN,2022-23,29,28,2022-10-22,57,22.0,22.0,25.5,25.5,28.0,22.0,108.0,101.0,35.0,35.0,24.0,24.0,0.357,0.3675,0.321,0.4285
2398,22200030,1610612738,BOS,1610612753,ORL,2022-23,36,33,2022-10-22,69,27.0,27.0,18.5,18.5,21.0,20.0,100.0,99.0,25.5,25.5,24.0,24.0,0.5,0.432,0.4285,0.321
2381,22200041,1610612760,OKC,1610612750,MIN,2022-23,18,31,2022-10-23,49,25.5,25.5,22.5,22.5,27.5,21.5,109.0,113.0,31.5,31.5,19.0,19.0,0.4285,0.5585,0.364,0.54
2380,22200041,1610612750,MIN,1610612760,OKC,2022-23,31,18,2022-10-23,49,38.0,38.0,26.0,26.0,25.0,23.5,113.0,109.0,24.0,24.0,26.5,26.5,0.6194999999999999,0.5775,0.54,0.364
2379,22200040,1610612762,UTA,1610612740,NOP,2022-23,26,24,2022-10-23,50,31.5,31.5,31.0,31.0,26.5,23.0,115.0,116.0,35.5,35.5,24.5,24.5,0.5775,0.6194999999999999,0.492,0.488
2376,22200042,1610612744,GSW,1610612758,SAC,2022-23,39,36,2022-10-23,75,29.5,29.5,33.5,33.5,21.5,20.5,112.0,97.0,31.0,31.0,28.5,28.5,0.5585,0.4285,0.488,0.492
2384,22200043,1610612756,PHX,1610612746,LAC,2022-23,33,18,2022-10-23,51,26.0,26.0,38.0,38.0,23.0,19.5,97.0,108.0,28.5,28.5,30.5,30.5,0.5015000000000001,0.3905,0.4565,0.379
2387,22200038,1610612737,ATL,1610612766,CHA,2022-23,30,22,2022-10-23,52,22.5,22.5,25.5,25.5,23.5,25.0,108.0,97.0,23.5,23.5,25.5,25.5,0.3905,0.5015000000000001,0.379,0.4565
2383,22200039,1610612739,CLE,1610612764,WAS,2022-23,30,31,2022-10-23,61,28.0,28.0,31.0,31.0,21.5,27.5,103.0,109.0,26.5,26.5,24.0,24.0,0.585,0.586,0.4915,0.5355
2378,22200040,1610612740,NOP,1610612762,UTA,2022-23,24,26,2022-10-23,50,33.5,33.5,29.5,29.5,24.5,25.0,109.0,103.0,19.0,19.0,31.5,31.5,0.6105,0.5974999999999999,0.5355,0.4915
2375,22200037,1610612757,POR,1610612747,LAL,2022-23,32,24,2022-10-23,56,28.5,28.5,32.0,32.0,19.5,23.0,97.0,112.0,25.5,25.5,23.5,23.5,0.5125,0.3595,0.4355,0.522
2382,22200039,1610612764,WAS,1610612739,CLE,2022-23,31,30,2022-10-23,61,31.0,31.0,31.5,31.5,23.0,26.5,104.0,109.0,27.5,27.5,30.0,30.0,0.5974999999999999,0.6105,0.522,0.4355
2385,22200043,1610612746,LAC,1610612756,PHX,2022-23,18,33,2022-10-23,51,32.0,32.0,28.5,28.5,23.5,27.0,110.0,104.0,24.5,24.5,35.5,35.5,0.586,0.585,0.511,0.47600000000000003
2386,22200038,1610612766,CHA,1610612737,ATL,2022-23,22,30,2022-10-23,52,31.0,31.0,28.0,28.0,27.0,23.5,109.0,104.0,28.5,28.5,31.0,31.0,0.5329999999999999,0.486,0.47600000000000003,0.511
2377,22200042,1610612758,SAC,1610612744,GSW,2022-23,36,39,2022-10-23,75,24.5,24.5,22.5,22.5,20.5,21.5,104.0,110.0,30.5,30.5,28.5,28.5,0.486,0.5329999999999999,0.39,0.3205
2374,22200037,1610612747,LAL,1610612757,POR,2022-23,24,32,2022-10-23,56,22.5,22.5,24.5,24.5,25.0,24.5,116.0,115.0,30.0,30.0,27.5,27.5,0.3595,0.5125,0.3205,0.39
2364,22200045,1610612761,TOR,1610612748,MIA,2022-23,27,23,2022-10-24,50,28.33333333333333,26.0,29.666666666666668,28.5,20.666666666666668,24.0,102.0,102.0,29.33333333333333,25.0,25.0,23.5,0.5236666666666667,0.4016666666666666,0.4506666666666667,0.4613333333333333
2373,22200048,1610612762,UTA,1610612745,HOU,2022-23,18,21,2022-10-24,39,29.666666666666668,26.0,32.666666666666664,29.0,26.0,22.666666666666668,110.0,100.0,31.666666666666668,27.0,35.666666666666664,35.5,0.5383333333333333,0.4836666666666667,0.4613333333333333,0.4506666666666667
2359,22200051,1610612743,DEN,1610612757,POR,2022-23,31,23,2022-10-24,54,32.666666666666664,29.0,29.666666666666668,26.0,24.0,23.0,108.66666666666669,106.66666666666669,33.333333333333336,31.5,28.0,28.0,0.627,0.525,0.5523333333333333,0.4216666666666667
2370,22200050,1610612759,SAS,1610612750,MIN,2022-23,39,28,2022-10-24,67,25.666666666666668,20.5,21.0,21.0,24.0,20.666666666666668,105.33333333333331,102.0,29.666666666666668,25.5,22.0,20.0,0.4836666666666667,0.5383333333333333,0.4216666666666667,0.5523333333333333
2365,22200045,1610612748,MIA,1610612761,TOR,2022-23,23,27,2022-10-24,50,31.0,27.5,25.0,21.5,22.0,21.666666666666668,101.33333333333331,98.66666666666669,30.33333333333333,29.0,24.0,18.0,0.6216666666666667,0.515,0.5106666666666667,0.4663333333333333
2367,22200047,1610612738,BOS,1610612741,CHI,2022-23,39,30,2022-10-24,69,30.0,27.0,35.666666666666664,33.0,22.0,21.0,101.33333333333331,102.66666666666669,28.0,25.5,31.0,29.5,0.5693333333333334,0.4,0.4663333333333333,0.5106666666666667
2369,22200049,1610612751,BKN,1610612763,MEM,2022-23,34,39,2022-10-24,73,21.0,21.0,25.666666666666668,20.5,21.0,22.0,102.0,105.33333333333331,28.0,28.0,33.333333333333336,31.5,0.4,0.5693333333333334,0.3775,0.42366666666666664
2372,22200048,1610612745,HOU,1610612762,UTA,2022-23,21,18,2022-10-24,39,25.0,21.5,31.0,27.5,22.666666666666668,26.0,108.0,102.66666666666669,31.0,26.0,24.33333333333333,21.5,0.481,0.6376666666666666,0.42366666666666664,0.3775
2358,22200051,1610612757,POR,1610612743,DEN,2022-23,23,31,2022-10-24,54,29.666666666666668,28.5,28.33333333333333,26.0,19.666666666666668,23.666666666666668,102.66666666666669,101.33333333333331,25.0,23.5,29.33333333333333,25.0,0.525,0.627,0.4403333333333333,0.5023333333333333
2362,22200046,1610612753,ORL,1610612752,NYK,2022-23,28,34,2022-10-24,62,29.33333333333333,27.5,25.33333333333333,25.0,23.666666666666668,19.666666666666668,102.66666666666669,107.33333333333331,24.0,18.0,30.33333333333333,29.0,0.5546666666666668,0.4756666666666667,0.5023333333333333,0.4403333333333333
2361,22200044,1610612754,IND,1610612755,PHI,2022-23,23,33,2022-10-24,56,25.33333333333333,25.0,29.33333333333333,27.5,23.0,24.0,107.33333333333331,102.66666666666669,35.666666666666664,35.5,31.666666666666668,27.0,0.4223333333333333,0.535,0.37866666666666665,0.4703333333333333
2366,22200047,1610612741,CHI,1610612738,BOS,2022-23,30,39,2022-10-24,69,27.666666666666668,26.5,22.666666666666668,21.0,22.666666666666668,24.0,100.0,110.0,31.0,29.5,28.0,25.5,0.515,0.6216666666666667,0.4703333333333333,0.37866666666666665
2363,22200046,1610612752,NYK,1610612753,ORL,2022-23,34,28,2022-10-24,62,26.5,26.5,26.0,24.5,24.0,22.666666666666668,102.0,102.0,22.5,22.5,31.33333333333333,27.5,0.535,0.4223333333333333,0.441,0.39799999999999996
2360,22200044,1610612755,PHI,1610612754,IND,2022-23,33,23,2022-10-24,56,26.0,24.5,26.5,26.5,21.666666666666668,22.0,98.66666666666669,101.33333333333331,24.33333333333333,21.5,31.0,26.0,0.4756666666666667,0.5546666666666668,0.39799999999999996,0.441
2371,22200050,1610612750,MIN,1610612759,SAS,2022-23,28,39,2022-10-24,67,35.666666666666664,33.0,30.0,27.0,24.33333333333333,25.0,106.66666666666669,108.66666666666669,22.0,20.0,29.666666666666668,25.5,0.6376666666666666,0.481,0.5773333333333334,0.3356666666666666
2368,22200049,1610612763,MEM,1610612751,BKN,2022-23,39,34,2022-10-24,73,22.666666666666668,21.0,27.666666666666668,26.5,25.0,24.33333333333333,102.66666666666669,108.0,31.33333333333333,27.5,22.5,22.5,0.4016666666666666,0.5236666666666667,0.3356666666666666,0.5773333333333334
2353,22200054,1610612746,LAC,1610612760,OKC,2022-23,18,23,2022-10-25,41,27.33333333333333,23.5,30.33333333333333,28.0,22.33333333333333,21.666666666666668,107.33333333333331,111.33333333333331,27.33333333333333,24.5,32.666666666666664,29.0,0.5156666666666666,0.592,0.4573333333333333,0.5236666666666666
2351,22200053,1610612740,NOP,1610612742,DAL,2022-23,40,31,2022-10-25,71,30.33333333333333,28.0,27.33333333333333,23.5,23.666666666666668,23.0,106.0,101.33333333333331,21.33333333333333,19.0,25.0,21.5,0.5813333333333334,0.5906666666666666,0.5236666666666666,0.4573333333333333
2355,22200055,1610612744,GSW,1610612756,PHX,2022-23,29,37,2022-10-25,66,32.666666666666664,29.5,24.0,18.5,21.666666666666668,22.33333333333333,111.33333333333331,107.33333333333331,32.666666666666664,29.0,27.33333333333333,24.5,0.592,0.5156666666666666,0.5223333333333333,0.39033333333333337
2357,22200052,1610612765,DET,1610612764,WAS,2022-23,25,28,2022-10-25,53,24.0,18.5,32.666666666666664,29.5,23.0,22.0,101.33333333333331,106.0,27.666666666666668,26.5,28.33333333333333,27.5,0.4479999999999999,0.4346666666666667,0.39033333333333337,0.5223333333333333
2354,22200055,1610612756,PHX,1610612744,GSW,2022-23,37,29,2022-10-25,66,28.33333333333333,26.0,35.5,35.5,23.0,23.666666666666668,98.66666666666669,100.0,25.0,21.5,21.33333333333333,19.0,0.5663333333333334,0.6835,0.5073333333333333,0.36533333333333334
2352,22200054,1610612760,OKC,1610612746,LAC,2022-23,23,18,2022-10-25,41,23.0,20.0,31.0,28.5,24.666666666666668,24.0,104.0,98.0,31.33333333333333,29.5,20.5,20.5,0.4346666666666667,0.4479999999999999,0.36533333333333334,0.5073333333333333
2356,22200052,1610612764,WAS,1610612765,DET,2022-23,28,25,2022-10-25,53,31.0,28.5,23.0,20.0,24.0,24.666666666666668,100.0,98.66666666666669,28.33333333333333,27.5,27.666666666666668,26.5,0.5906666666666666,0.5813333333333334,0.5146666666666667,0.5914999999999999
2350,22200053,1610612742,DAL,1610612740,NOP,2022-23,31,40,2022-10-25,71,35.5,35.5,28.33333333333333,26.0,22.0,23.0,98.0,104.0,20.5,20.5,31.33333333333333,29.5,0.6835,0.5663333333333334,0.5914999999999999,0.5146666666666667
2337,22200060,1610612751,BKN,1610612749,MIL,2022-23,20,25,2022-10-26,45,25.33333333333333,21.0,28.25,26.5,23.0,20.75,103.33333333333331,100.5,31.666666666666668,28.0,28.0,26.5,0.4333333333333333,0.52975,0.412,0.5475000000000001
2343,22200062,1610612750,MIN,1610612759,SAS,2022-23,39,28,2022-10-26,67,33.75,29.5,26.75,22.0,24.25,24.33333333333333,106.0,115.33333333333331,26.25,20.0,27.75,26.5,0.6084999999999999,0.63325,0.5475000000000001,0.412
2347,22200058,1610612752,NYK,1610612766,CHA,2022-23,32,30,2022-10-26,62,29.0,26.5,24.0,20.5,24.33333333333333,23.0,104.66666666666669,105.33333333333331,24.33333333333333,22.5,26.5,18.0,0.5033333333333333,0.5963333333333333,0.42733333333333334,0.4375
2339,22200065,1610612757,POR,1610612748,MIA,2022-23,31,28,2022-10-26,59,28.0,24.0,28.0,25.5,20.0,23.75,102.5,101.5,26.5,23.5,24.0,21.0,0.51275,0.534,0.4375,0.42733333333333334
2349,22200064,1610612747,LAL,1610612743,DEN,2022-23,22,26,2022-10-26,48,23.0,22.5,29.0,27.5,24.666666666666668,21.25,115.33333333333331,106.0,30.666666666666668,28.5,29.5,27.5,0.3716666666666666,0.509,0.33866666666666667,0.5023333333333334
